filename,class
/home/mchou001/Label-Dedication/502/aug0.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug1.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug2.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug3.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug4.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug5.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug6.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug7.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug8.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug9.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug10.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug11.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug12.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug13.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug14.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug15.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug16.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug17.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug18.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug19.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug20.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug21.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug22.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug23.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug24.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug25.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug26.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug27.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug28.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug29.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug30.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug31.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug32.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug33.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug34.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug35.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug36.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug37.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug38.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug39.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug40.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug41.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug42.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug43.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug44.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug45.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug46.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug47.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug48.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug49.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug50.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug51.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug52.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug53.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug54.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug55.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug56.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug57.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug58.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug59.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug60.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug61.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug62.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug63.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug64.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug65.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug66.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug67.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug68.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug69.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug70.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug71.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug72.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug73.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug74.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug75.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug76.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug77.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug78.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug79.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug80.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug81.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug82.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug83.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug84.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug85.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug86.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug87.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug88.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug89.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug90.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug91.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug92.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug93.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug94.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug95.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug96.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug97.png,Label-Dedication
/home/mchou001/Label-Dedication/502/aug98.png,Label-Dedication
